Id	Workflow Name/File	Tree?	searchSpace	# operators	# edges	# blocking edges	Top-down Exhaustive	Bottom-up Exhaustive	Bottom-up - Top-down	00111-searchFinished	00111-numStates	00111-OSEPCost	01111-searchFinished	Top-down Greedy	Bottom-up Greedy	Bottom-up Greedy - Top-down Greedy	01111-numStates	01111-OSEPCost	10111-searchFinished	10111-numStates	10111-OSEPCost	11111-searchFinished	11111-numStates	11111-OSEPCost
2766	Trabajo de estructuracion de datos	FALSE	40	66	68	28	19	21	2	TRUE	16	37119	TRUE	6	4	-2	5	37119	TRUE	27	37119	TRUE	4	57918
2143	ML_proj	FALSE	40	53	60	20	273	1467	1194	TRUE	138	100133	TRUE	19	14	-5	9	100133	TRUE	900	100133	TRUE	10	222232
1883	KNIME_ListMonthsBetweenDates	FALSE	40	44	46	6	30	45	15	TRUE	21	10610	TRUE	8	5	-3	4	38488	TRUE	53	10610	TRUE	3	10610
892	CreditScoringModelDemo	FALSE	39	53	59	20	231	1518	1287	TRUE	142	109538	TRUE	23	15	-8	9	109538	TRUE	903	109538	TRUE	7	215007
867	Credit scoring 1	FALSE	39	52	58	19	276	1550	1274	TRUE	133	107737	TRUE	17	10	-7	9	107737	TRUE	898	107737	TRUE	4	107737
2207	neural_networks(1)	FALSE	39	53	59	20	280	1333	1053	TRUE	140	109233	TRUE	16	14	-2	9	109233	TRUE	900	109233	TRUE	9	403901
866	Building a Credit Scoring Model	FALSE	39	53	59	20	257	1772	1515	TRUE	139	109452	TRUE	16	16	0	9	109452	TRUE	902	109452	TRUE	7	304133
889	creditscore_project10	FALSE	39	53	59	20	423	2090	1667	TRUE	143	109446	TRUE	16	9	-7	9	109446	TRUE	902	109446	TRUE	4	109446
876	Credit scoring through Neural Network Standard Deviation	FALSE	39	53	59	20	133	619	486	TRUE	73	109553	TRUE	14	13	-1	8	109553	TRUE	455	109553	TRUE	8	265064
1895	KNIME_project10demo	FALSE	39	53	59	20	339	1388	1049	TRUE	141	109365	TRUE	19	19	0	9	109365	TRUE	903	109365	TRUE	10	320431
917	CustomerRiskPrediction	FALSE	39	52	58	19	289	1565	1276	TRUE	146	109575	TRUE	15	14	-1	9	109575	TRUE	901	109575	TRUE	9	470551
541	Building_A_Credit_Demo1	FALSE	38	52	58	20	323	1306	983	TRUE	150	109414	TRUE	21	18	-3	9	109414	TRUE	900	109414	TRUE	9	314991
1918	KNIME_projectcreditscoring	FALSE	38	52	58	20	265	1599	1334	TRUE	141	109678	TRUE	17	14	-3	9	109678	TRUE	901	109678	TRUE	5	204209
1	(test) credit score model	FALSE	38	52	58	20	245	1108	863	TRUE	139	109548	TRUE	14	12	-2	9	109548	TRUE	904	109548	TRUE	10	409609
1914	KNIME_projectans	FALSE	38	52	58	20	264	1326	1062	TRUE	143	109417	TRUE	28	11	-17	9	109417	TRUE	898	109417	TRUE	4	109417
1912	KNIME_project credit score	FALSE	38	52	58	20	337	1325	988	TRUE	137	109531	TRUE	17	17	0	9	109531	TRUE	902	109531	TRUE	8	175983
1904	KNIME_project8	FALSE	38	52	58	20	230	1184	954	TRUE	136	109327	TRUE	18	19	1	9	109327	TRUE	904	109327	TRUE	9	359370
2205	Neural _Network	FALSE	38	52	58	20	241	1140	899	TRUE	137	109449	TRUE	14	15	1	9	109449	TRUE	898	109449	TRUE	7	259525
1902	KNIME_project7 as	FALSE	38	52	58	20	160	578	418	TRUE	75	109532	TRUE	17	12	-5	8	109532	TRUE	455	109532	TRUE	5	114981
621	CC_Scoring	FALSE	38	52	58	20	255	1421	1166	TRUE	147	109485	TRUE	17	12	-5	9	109485	TRUE	902	109485	TRUE	8	175937
