Id	00111-searchFinished	searchSpace	Exhaustive	Greedy	Exhaustive (ms)	Greedy (ms)	# operators	# edges	# blocking edges	# edges in an undirected cycle
532	TRUE	34	2	2	1	1	48	47	13	6
1262	TRUE	34	1041	12	1664	29	36	44	10	10
2561	TRUE	35	8	4	7	4	42	43	8	12
2211	TRUE	36	2	2	3	2	49	53	17	3
1256	TRUE	36	650	10	856	12	41	45	9	3
1905	TRUE	37	142	9	284	22	51	57	20	3
540	TRUE	37	145	9	252	17	51	57	20	14
2724	TRUE	37	142	9	214	16	53	59	22	15
1867	TRUE	37	131	9	132	10	40	42	5	4
1858	TRUE	37	133	9	200	14	51	57	20	18
547	TRUE	37	141	9	339	20	51	57	20	15
1918	TRUE	38	141	9	265	17	52	58	20	3
1914	TRUE	38	143	9	264	28	52	58	20	14
1904	TRUE	38	136	9	230	18	52	58	20	3
1902	TRUE	38	75	8	160	17	52	58	20	3
1900	TRUE	38	77	8	106	13	52	58	20	15
1882	TRUE	38	142	9	329	23	52	58	20	3
902	TRUE	38	78	8	134	15	52	58	20	15
900	TRUE	38	136	9	298	18	52	58	20	14
2210	TRUE	38	141	9	256	15	52	58	20	3
483	TRUE	38	138	9	234	14	52	58	20	14
2206	TRUE	38	148	9	250	14	52	58	20	3
886	TRUE	38	143	9	322	29	52	58	20	19
2435	TRUE	38	7	2	9	3	45	50	12	3
1892	TRUE	38	140	9	296	15	52	58	20	3
371	TRUE	38	83	8	133	12	52	58	20	14
443	TRUE	38	71	8	108	14	52	58	20	3
467	TRUE	38	140	9	237	16	52	58	20	14
864	TRUE	38	146	9	270	17	52	58	20	15
896	TRUE	38	149	9	359	17	52	58	20	3
899	TRUE	38	144	9	405	15	52	58	20	3
887	TRUE	38	135	9	315	21	52	58	20	3
891	TRUE	38	68	8	134	16	52	58	20	3
470	TRUE	38	146	9	261	20	52	58	20	19
458	TRUE	38	141	9	343	17	52	58	20	3
897	TRUE	38	145	9	319	20	52	58	20	15
1045	TRUE	38	141	9	384	24	52	58	20	3
1161	TRUE	38	137	9	304	21	52	58	20	15
1825	TRUE	38	147	9	326	14	52	58	20	3
1857	TRUE	38	139	9	296	20	52	58	20	15
1055	TRUE	38	147	9	308	24	52	58	20	3
885	TRUE	38	135	9	271	15	52	58	20	15
868	TRUE	38	147	9	262	16	52	58	20	3
874	TRUE	38	7	4	6	3	52	58	20	15
1177	TRUE	38	142	9	314	17	52	58	20	3
869	TRUE	38	133	9	294	20	52	58	20	14
873	TRUE	38	143	9	328	19	52	58	20	15
877	TRUE	38	148	9	261	24	52	58	20	3
880	TRUE	38	137	9	260	17	52	58	20	3
884	TRUE	38	142	9	367	24	52	58	20	25
895	TRUE	38	74	8	156	20	52	58	20	3
541	TRUE	38	150	9	323	21	52	58	20	15
1	TRUE	38	139	9	245	14	52	58	20	15
1912	TRUE	38	137	9	337	17	52	58	20	3
2205	TRUE	38	137	9	241	14	52	58	20	3
621	TRUE	38	147	9	255	17	52	58	20	3
904	TRUE	38	143	9	544	24	52	58	20	19
1826	TRUE	38	139	9	226	15	52	58	20	3
898	TRUE	38	141	9	247	19	52	58	20	3
2567	TRUE	38	147	9	229	14	52	58	20	3
2228	TRUE	38	140	9	345	23	52	58	20	15
2346	TRUE	38	75	8	180	16	52	58	20	3
2572	TRUE	38	145	9	202	13	52	58	20	14
2184	TRUE	38	137	9	224	19	52	58	20	15
2084	TRUE	38	142	9	226	14	52	58	20	3
369	TRUE	38	136	9	231	18	52	58	20	14
429	TRUE	38	146	9	250	25	52	58	20	3
459	TRUE	38	139	9	297	21	52	58	20	15
469	TRUE	38	141	9	390	18	52	58	20	15
894	TRUE	38	144	9	253	20	52	58	20	3
893	TRUE	38	144	9	319	22	52	58	20	3
888	TRUE	38	151	9	472	21	52	58	20	18
901	TRUE	38	139	9	270	18	52	58	20	18
903	TRUE	38	140	9	312	17	52	58	20	3
468	TRUE	38	146	9	334	17	52	58	20	15
905	TRUE	38	138	9	338	16	52	58	20	15
384	TRUE	38	143	9	255	15	52	58	20	26
1109	TRUE	38	145	9	258	20	52	58	20	3
1927	TRUE	38	148	9	392	20	52	58	20	14
1911	TRUE	38	144	9	274	21	52	58	20	3
1859	TRUE	38	82	8	145	12	52	58	20	15
1824	TRUE	38	152	9	369	14	52	58	20	3
872	TRUE	38	134	9	291	21	52	58	20	3
855	TRUE	38	141	9	275	14	52	58	20	14
865	TRUE	38	145	9	481	17	52	58	20	3
878	TRUE	38	136	9	334	16	52	58	20	15
871	TRUE	38	148	9	473	16	52	58	20	3
870	TRUE	38	134	9	279	19	52	58	20	3
879	TRUE	38	139	9	317	20	52	58	20	19
1796	TRUE	38	142	9	328	22	52	58	20	3
881	TRUE	38	139	9	259	19	52	58	20	3
867	TRUE	39	133	9	276	17	52	58	19	3
866	TRUE	39	139	9	257	16	53	59	20	3
876	TRUE	39	73	8	133	14	53	59	20	3
917	TRUE	39	146	9	289	15	52	58	19	3
892	TRUE	39	142	9	231	23	53	59	20	3
2207	TRUE	39	140	9	280	16	53	59	20	3
889	TRUE	39	143	9	423	16	53	59	20	14
1895	TRUE	39	141	9	339	19	53	59	20	19
2766	TRUE	40	16	5	19	6	66	68	28	6
1883	TRUE	40	21	4	30	8	44	46	6	28
49	TRUE	40	3	3	3	4	57	57	17	10
2143	TRUE	40	138	9	273	19	53	60	20	15
1674	TRUE	41	1575	12	7881	68	54	64	23	8
1253	TRUE	41	6	3	11	4	60	62	21	10
912	TRUE	46	284	10	1095	33	68	73	27	7
2075	TRUE	46	4	3	4	4	85	88	42	6
2179	TRUE	47	9	4	13	11	48	62	15	5
590	TRUE	48	14	5	26	9	75	87	39	4
822	TRUE	48	145	7	298	17	54	60	12	3
2063	TRUE	48	524	11	2043	35	70	78	30	8
2379	TRUE	55	11	5	17	8	86	95	40	8
2121	TRUE	62	24	5	82	20	70	77	15	9
2863	TRUE	68	5166	11	28864	69	103	116	48	6
832	TRUE	76	86	6	637	46	89	94	18	11
485	TRUE	80	10251	11	65020	96	105	112	32	4












































































































































































































































































