searchSpace	exhausitive-searchFinished	exhausitive-searchTime	greedy-searchFinished	greedy-searchTime
5	TRUE	1	TRUE	0
4	TRUE	0	TRUE	1
4	TRUE	1	TRUE	1
4	TRUE	1	TRUE	1
4	TRUE	2	TRUE	1
4	TRUE	1	TRUE	1
4	TRUE	5	TRUE	2
4	TRUE	1	TRUE	1
4	TRUE	0	TRUE	1
4	TRUE	1	TRUE	0
3	TRUE	0	TRUE	1
3	TRUE	1	TRUE	0
3	TRUE	0	TRUE	1
3	TRUE	0	TRUE	1
3	TRUE	3	TRUE	1
3	TRUE	3	TRUE	2
3	TRUE	1	TRUE	0
2	TRUE	1	TRUE	1
2	TRUE	1	TRUE	0
2	TRUE	36	TRUE	1
0	TRUE	1	TRUE	0
